"voterid","civicduty","hawthorne","self","neighbors","control"
"V134582",0,0,0,0,1
"V137203",0,1,0,0,0
"V115089",1,0,0,0,0
"V061714",1,0,0,0,0
"V140039",0,0,0,0,1
"V023133",0,0,0,1,0
"V106509",0,0,0,1,0
"V074642",1,0,0,0,0
"V048457",0,0,0,1,0
"V107665",0,0,0,1,0
"V091247",0,1,0,0,0
"V140373",1,0,0,0,0
"V126099",1,0,0,0,0
"V126248",1,0,0,0,0
"V086330",1,0,0,0,0
"V012097",0,0,1,0,0
"V081692",0,0,1,0,0
"V102306",0,1,0,0,0
"V062329",1,0,0,0,0
"V084124",0,0,0,0,1
"V013120",0,1,0,0,0
"V062824",1,0,0,0,0
"V112387",0,0,1,0,0
"V112207",0,0,0,1,0
"V125159",0,0,1,0,0
"V092114",0,0,0,0,1
"V044096",0,1,0,0,0
"V112649",1,0,0,0,0
"V139844",1,0,0,0,0
"V054040",0,0,0,0,1
"V026571",0,0,0,1,0
"V111182",1,0,0,0,0
"V077647",0,0,0,1,0
"V062085",0,0,0,0,1
"V127068",0,0,1,0,0
"V095315",0,0,0,0,1
"V092272",0,1,0,0,0
"V052356",0,0,0,1,0
"V075320",0,0,1,0,0
"V131591",0,0,1,0,0
"V067331",0,1,0,0,0
"V075715",0,0,1,0,0
"V003602",0,1,0,0,0
"V023402",0,0,1,0,0
"V051944",0,1,0,0,0
"V081072",0,0,1,0,0
"V116104",1,0,0,0,0
"V057264",0,0,0,1,0
"V125642",0,1,0,0,0
"V129624",0,0,0,0,1
"V014466",0,0,1,0,0
"V023628",0,1,0,0,0
"V111573",1,0,0,0,0
"V001859",0,0,0,0,1
"V004511",1,0,0,0,0
"V128967",0,0,0,1,0
"V088015",0,0,0,1,0
"V090499",1,0,0,0,0
"V074657",0,0,1,0,0
"V008805",0,0,0,1,0
"V019396",0,0,0,1,0
"V130448",0,0,0,1,0
"V105209",0,0,1,0,0
"V066998",0,0,1,0,0
"V117334",1,0,0,0,0
"V132265",0,1,0,0,0
"V008009",1,0,0,0,0
"V116980",0,1,0,0,0
"V077671",0,0,0,0,1
"V038051",1,0,0,0,0
"V038884",1,0,0,0,0
"V067908",0,0,0,1,0
"V023512",0,0,0,1,0
"V076457",0,0,0,1,0
"V131597",0,0,1,0,0
"V102103",0,0,1,0,0
"V074721",0,0,1,0,0
"V106077",0,0,0,0,1
"V047626",0,0,1,0,0
"V123445",1,0,0,0,0
"V071071",0,0,0,0,1
"V120255",0,0,0,1,0
"V021887",0,0,0,0,1
"V100761",0,1,0,0,0
"V049949",1,0,0,0,0
"V054317",0,0,1,0,0
"V021486",0,0,1,0,0
"V119942",1,0,0,0,0
"V028977",0,0,0,0,1
"V066751",0,1,0,0,0
"V114964",0,1,0,0,0
"V008919",0,1,0,0,0
"V079094",0,1,0,0,0
"V108326",1,0,0,0,0
"V121110",0,1,0,0,0
"V029447",1,0,0,0,0
"V057914",0,0,0,0,1
"V121034",0,0,0,0,1
"V035274",0,0,1,0,0
"V011570",0,0,1,0,0
"V094318",0,1,0,0,0
"V117387",0,0,1,0,0
"V030547",0,0,0,0,1
"V068059",1,0,0,0,0
"V128171",1,0,0,0,0
"V016942",0,1,0,0,0
"V094009",0,0,0,1,0
"V110603",1,0,0,0,0
"V106659",0,0,0,0,1
"V017055",0,0,0,0,1
"V072225",0,1,0,0,0
"V136123",0,1,0,0,0
"V140052",0,0,1,0,0
"V060693",0,0,0,1,0
"V092398",0,1,0,0,0
"V089080",0,0,0,1,0
"V034233",1,0,0,0,0
"V043538",1,0,0,0,0
"V004520",0,0,0,0,1
"V088256",0,0,0,1,0
"V053863",0,0,0,0,1
"V066924",0,0,1,0,0
"V134335",0,0,1,0,0
"V003577",1,0,0,0,0
"V070796",0,0,0,1,0
"V001360",1,0,0,0,0
"V084233",0,0,0,1,0
"V026029",0,0,0,0,1
"V087642",1,0,0,0,0
"V082574",1,0,0,0,0
"V104152",0,1,0,0,0
"V128802",0,0,0,0,1
"V095367",0,0,0,1,0
"V117529",0,0,1,0,0
"V027327",1,0,0,0,0
"V052525",0,1,0,0,0
"V034207",0,0,1,0,0
"V122064",0,1,0,0,0
"V102268",0,0,0,1,0
"V045655",0,0,0,1,0
"V022806",0,0,1,0,0
"V056548",1,0,0,0,0
"V004275",0,0,0,0,1
"V050742",0,1,0,0,0
"V090310",0,0,1,0,0
"V027564",0,0,0,0,1
"V061027",0,0,1,0,0
"V006899",0,0,0,0,1
"V083372",0,0,0,0,1
"V030030",0,0,0,1,0
"V119697",0,0,0,1,0
"V084303",0,0,0,0,1
"V125012",0,0,1,0,0
"V098806",0,0,1,0,0
"V008927",1,0,0,0,0
"V100700",1,0,0,0,0
"V019288",0,0,0,1,0
"V125327",1,0,0,0,0
"V064529",0,0,0,0,1
"V041418",0,0,0,0,1
"V082815",1,0,0,0,0
